Дата,Сайт,MC,Акб,Падение,Поднятие,Дежурный
 22.11.2016 ,DNE PRM PS2,ZAP,07:20,07:20,None,kakovalchuk
 22.11.2016 ,DON DON KUF,DON,06:36,06:36,None,ntriska
 22.11.2016 ,ODE ODE VOR,ODE,05:40,05:40,None,kakovalchuk
 22.11.2016 ,LVI ZAT PRM,LVI,05:23,05:23,None,onekryshevych
 22.11.2016 ,ODE BER NVK,HER,04:30,04:30,None,kakovalchuk
 22.11.2016 ,DNE KRL GID,ZAP,None,None,None,kakovalchuk
 22.11.2016 ,DNE DNE MRN,DNE,None,None,None,kakovalchuk
 22.11.2016 ,ODE RWS STP,KOT,None,None,None,kakovalchuk
 22.11.2016 ,DNE KOS OBI,ZAP,None,None,None,kakovalchuk
 22.11.2016 ,LVI VLD TOW,RIV,02:14,02:14,None,onekryshevych
 22.11.2016 ,KIE REC DYM,KIE,None,None,None,onekryshevych
 22.11.2016 ,ODE NIK POL,NIK,00:49,00:49,None,kakovalchuk
 22.11.2016 ,DNE ZAP MOT,ZAP,None,None,None,kakovalchuk
 22.11.2016 ,KIE VYS KIE,KIE,00:25,00:25,None,onekryshevych
 21.11.2016 ,KIE CHK GOR,CHK,23:42,23:42,None,onekryshevych
 21.11.2016 ,LVI TOP TOW,LUT,None,None,None,kakovalchuk
 21.11.2016 ,DNE KIR NR3,KIR,22:17,22:17,None,kakovalchuk
 21.11.2016 ,DON IVN TOW,MAR,20:50,20:50,None,ntriska
 21.11.2016 ,DON KRC MRN,DON,None,None,None,ntriska
 21.11.2016 ,LVI NVS KLS,CHR,None,None,None,onekryshevych
 21.11.2016 ,DNE ZAP NEV,ZAP,19:12,19:12,None,kakovalchuk
 21.11.2016 ,KIE KIE PM8,KIE,None,None,None,ynemchenko
 21.11.2016 ,KIE REC PRC,KIE,None,None,None,ynemchenko
 21.11.2016 ,DON SKR AGR,DON,None,None,None,obilous
 21.11.2016 ,DON MAK KLN,DON,None,None,None,ntriska
 21.11.2016 ,DON LBD AGR,MAR,13:51,13:51,None,obilous
 21.11.2016 ,DNE DNE MIN,DNE,None,None,None,aliashchuk
 21.11.2016 ,KIE KIE SAK,KIE,None,None,None,snikiforov
 21.11.2016 ,ODE NVG SEL,GEN,10:53,10:53,None,aliashchuk
 21.11.2016 ,KIE REC RO2,KIE,None,None,None,snikiforov
 21.11.2016 ,LVI TBL TOW,LUT,None,None,None,aliashchuk
 21.11.2016 ,DON DON UKK,DON,None,None,None,obilous
 21.11.2016 ,KHA RAD MOL,POL,None,None,None,rdegtyarenko
 21.11.2016 ,LVI MIC HLK,KHM,03:34,03:34,None,sgusenko
 20.11.2016 ,LVI LVI FRA,LVI,19:54,19:54,None,sgusenko
 20.11.2016 ,KHA LUB BAS,KRE,None,None,None,ntriska
 20.11.2016 ,LVI VVD RAH,UZH,08:16,08:16,None,onekryshevych
 20.11.2016 ,KHA OST APE,POL,None,None,None,ntriska
 19.11.2016 ,ODE VLE SCH,GEN,16:24,16:24,None,ishestopal
 19.11.2016 ,LVI LVI VIK,LVI,13:36,13:36,None,sgusenko
 19.11.2016 ,KIE CHN PRO,CHN,09:40,09:40,None,rdegtyarenko
 18.11.2016 ,DNE BLG SHE,ZAP,None,None,None,aliashchuk
 18.11.2016 ,LVI GOR TVT,LUT,17:38,17:38,None,demaksymenko
 18.11.2016 ,KIE KIE TVE,KIE,None,None,None,snikiforov
 18.11.2016 ,ODE R71 PER,GEN,13:25,13:25,None,oscherbina
 18.11.2016 ,KIE REC KZR,KIE,None,None,None,snikiforov
 18.11.2016 ,DNE ELZ TOW,ZAP,None,None,None,demaksymenko
 18.11.2016 ,LVI BLT PRM,LVI,None,None,None,onekryshevych
 17.11.2016 ,LVI VLA KTS,CHR,None,None,None,onekryshevych
 17.11.2016 ,DON PST TOW,DON,None,None,None,ntriska
 17.11.2016 ,DON MAK MMZ,DON,None,None,None,rdegtyarenko
 17.11.2016 ,KIE KIE DK9,KIE,00:19,00:19,None,sgusenko
 16.11.2016 ,DNE BER MOR,ZAP,12:48,12:48,None,kakovalchuk
 16.11.2016 ,ODE PIK DOV,ODE,None,None,None,kakovalchuk
 15.11.2016 ,LVI SAR ZHU,RIV,None,None,None,sgusenko
 15.11.2016 ,DON DON TRN,DON,10:49,10:49,None,rdegtyarenko
 15.11.2016 ,ODE IVN TOK,GEN,05:53,05:53,None,ishestopal
 15.11.2016 ,DNE NIK ELD,DNE,01:11,01:11,None,APOLONEVYCH
 14.11.2016 ,LVI SVZ RCL,LUT,21:58,21:58,None,APOLONEVYCH
 14.11.2016 ,KIE REC VSH,KIE,None,None,None,snikiforov
 14.11.2016 ,LVI MOR DZE,LVI,None,None,None,onekryshevych
 13.11.2016 ,DON KHA HMT,DON,None,None,None,ntriska
 13.11.2016 ,ODE RAD POB,HER,15:13,15:13,None,kakovalchuk
 13.11.2016 ,ODE NIK IVF,NIK,10:15,10:15,None,demaksymenko
 13.11.2016 ,KHA SAH NOV,POL,None,None,None,ezhabenko
 12.11.2016 ,ODE ODE STB,ODE,None,None,None,kakovalchuk
 11.11.2016 ,DNE DNE GDP,DNE,None,None,None,ishestopal
 11.11.2016 ,ODE PIK KNK,ODE,None,None,None,ishestopal
 10.11.2016 ,DON GOR STI,DON,None,None,None,rdegtyarenko
 10.11.2016 ,KIE CHK ALT,CHK,None,None,None,onekryshevych
 10.11.2016 ,LVI UZH GRA,UZH,None,None,None,onekryshevych
 09.11.2016 ,KIE CHK IRD,CHK,None,None,None,sgusenko
 09.11.2016 ,LVI STR RUS,LVI,None,None,None,ynemchenko
 08.11.2016 ,ODE ODE FLT,ODE,None,None,None,ishestopal
 08.11.2016 ,DNE PRI BOR,ZAP,None,None,None,demaksymenko
 07.11.2016 ,ODE PIK KUN,ODE,None,None,None,phuskov
 07.11.2016 ,LVI DHT PTL,CHR,03:03,03:03,None,sgusenko
 06.11.2016 ,DON MAK NVK,DON,None,None,None,akarpenchuk
 04.11.2016 ,KIE CHK KM2,CHK,None,None,None,onedosiek
 02.11.2016 ,LVI DRB RAH,UZH,None,None,None,sgusenko
 01.11.2016 ,KIE REC BOG,KIE,15:27,15:27,None,mpetrenko
 01.11.2016 ,LVI UZH RAB,UZH,06:15,06:15,None,ynemchenko
 01.11.2016 ,LVI SLO NVS,CHR,00:46,00:46,None,sgusenko
 31.10.2016 ,LVI DRB RAH,UZH,None,None,None,sgusenko
 31.10.2016 ,DON VME TOK,DON,None,None,None,akarpenchuk
 30.10.2016 ,DON KMC TOW,DON,None,None,None,opoznikharenko
 29.10.2016 ,LVI GVZ TOW,IVF,None,None,None,demaksymenko
 29.10.2016 ,DON KLN CNT,LUG,02:15,02:15,None,ntriska
 28.10.2016 ,DNE ZAP UGP,?,None,None,None,APOLONEVYCH
 27.10.2016 ,DON DON MOL,DON,None,None,None,ntriska
 26.10.2016 ,DON ANT DKV,LUG,20:52,20:52,None,ntriska
 25.10.2016 ,DON KHA PIP,DON,09:56,09:56,None,ntriska
 23.10.2016 ,DON MAK GEL,DON,None,None,None,ntriska
 21.10.2016 ,ODE ODE ZU1,ODE,None,None,None,demaksymenko
 20.10.2016 ,LVI ZRC TVT,RIV,None,None,None,ynemchenko
 20.10.2016 ,LVI CRT POL,TER,None,None,None,ynemchenko
 19.10.2016 ,DON TOR SPU,DON,None,None,None,ntriska
 17.10.2016 ,ODE ODE KST,ODE,None,None,None,demaksymenko
 17.10.2016 ,DON KRL GRS,LUG,None,None,None,opoznikharenko
 16.10.2016 ,LVI OLS BUS,LVI,08:51,08:51,None,ynemchenko
 13.10.2016 ,DNE PAV ROV,DNE,None,None,None,ishestopal
 12.10.2016 ,LVI CHR HMZ,CHR,05:46,05:46,None,sgusenko
 06.10.2016 ,DON KRD SEM,LUG,None,None,None,opoznikharenko
 05.10.2016 ,LVI LVI VIN,LVI,None,None,None,onedosiek
 04.10.2016 ,LVI SLA TRO,LVI,None,None,None,onekryshevych
 03.10.2016 ,LVI NIK DRG,LVI,None,None,None,kpapushoy
 02.10.2016 ,DON ZOR CUL,LUG,None,None,None,opoznikharenko
 29.09.2016 ,ODE NIK ZMR,NIK,10:18,10:18,None,ishestopal
 28.09.2016 ,DON ANT ILI,LUG,None,None,None,rdegtyarenko
 27.09.2016 ,ODE PIK ERI,ODE,None,None,None,apolonevych
 27.09.2016 ,KIE REC PHM,KIE,None,None,None,snikiforov
 27.09.2016 ,KIE KIE PFT,KIE,None,None,None,snikiforov
 25.09.2016 ,DON ZDN CNT,DON,None,None,None,ntriska
 23.09.2016 ,DON DON COF,DON,None,None,None,ntriska
 20.09.2016 ,DON DON UCM,DON,None,None,None,rdegtyarenko
 20.09.2016 ,DON ZIM CUL,LUG,08:33,08:33,None,rdegtyarenko
 19.09.2016 ,DON MAK LTS,DON,None,None,None,ntriska
 18.09.2016 ,DON KRL MRK,LUG,None,None,None,ntriska
 17.09.2016 ,DON LUG LEK,LUG,None,None,None,ntriska
 17.09.2016 ,DON MAK CUL,DON,None,None,None,ntriska
 17.09.2016 ,DON KRS JAK,KRM,04:35,04:35,None,ntriska
 16.09.2016 ,ODE PBS AA2,?,None,None,None,ishestopal
 15.09.2016 ,ODE ODE GDR,ODE,12:22,12:22,None,ishestopal
 14.09.2016 ,DON GOL PIP,DON,None,None,None,ntriska
 12.09.2016 ,DON ALC AMN,LUG,None,None,None,rdegtyarenko
 09.09.2016 ,DON DZR HRS,KRM,None,None,None,vborushok
 09.09.2016 ,ODE PIK HUT,ODE,None,None,None,demaksymenko
 06.09.2016 ,DON DON LID,DON,None,None,None,obilous
 03.09.2016 ,DON MAK JAS,DON,None,None,None,KGrygor
 31.08.2016 ,DON DON AST,DON,None,None,None,rdegtyarenko
 30.08.2016 ,DON LUG TEH,LUG,None,None,None,KGrygor
 30.08.2016 ,DON LUG MDR,LUG,None,None,None,oscherbina
 30.08.2016 ,DON MNK CUL,DON,None,None,None,vborushok
 29.08.2016 ,DON MAK CHU,DON,None,None,None,KGrygor
 29.08.2016 ,DON DON ZGM,DON,None,None,None,KGrygor
 28.08.2016 ,DON DON GNA,DON,06:34,06:34,None,KGrygor
 26.08.2016 ,DON DON AZT,DON,None,None,None,KGrygor
 26.08.2016 ,DON ZUG RNK,DON,None,None,None,KGrygor
 26.08.2016 ,DON GOR USH,DON,None,None,None,KGrygor
 26.08.2016 ,DON TOR KIC,DON,09:14,09:14,None,KGrygor
 26.08.2016 ,DON PRI RUD,KRM,07:25,07:25,None,KGrygor
 25.08.2016 ,DON OBL AGR,DON,None,None,None,rdegtyarenko
 22.08.2016 ,DON M21 NET,KRM,17:43,17:43,None,obilous
 22.08.2016 ,DON DON KVN,DON,None,None,None,KGrygor
 22.08.2016 ,DON MAK UNI,DON,None,None,None,KGrygor
 22.08.2016 ,DON DON TPP,DON,None,None,None,KGrygor
 22.08.2016 ,DON STA OBS,LUG,11:24,11:24,None,KGrygor
 22.08.2016 ,DON GOR K08,DON,None,None,None,KGrygor
 22.08.2016 ,DON MAK MON,DON,None,None,None,KGrygor
 22.08.2016 ,DON GOR NIK,DON,None,None,None,KGrygor
 22.08.2016 ,DON LUG STE,LUG,None,None,None,KGrygor
 20.08.2016 ,DON SVE KLN,LUG,None,None,None,ntriska
